split,path,label
train,Agaricus bisporus/120022.jpg,Agaricus bisporus
train,Agaricus bisporus/131673.jpg,Agaricus bisporus
train,Agaricus bisporus/131674.jpg,Agaricus bisporus
train,Agaricus bisporus/153860.jpg,Agaricus bisporus
train,Agaricus bisporus/153863.jpg,Agaricus bisporus
train,Agaricus bisporus/153865.jpg,Agaricus bisporus
train,Agaricus bisporus/153867.jpg,Agaricus bisporus
train,Agaricus bisporus/153868.jpg,Agaricus bisporus
train,Agaricus bisporus/154308.jpg,Agaricus bisporus
train,Agaricus bisporus/16815.jpg,Agaricus bisporus
train,Agaricus bisporus/177166.jpg,Agaricus bisporus
train,Agaricus bisporus/177168.jpg,Agaricus bisporus
train,Agaricus bisporus/201109.jpg,Agaricus bisporus
train,Agaricus bisporus/201110.jpg,Agaricus bisporus
train,Agaricus bisporus/219513.jpg,Agaricus bisporus
train,Agaricus bisporus/219514.jpg,Agaricus bisporus
train,Agaricus bisporus/289088.jpg,Agaricus bisporus
train,Agaricus bisporus/3325.jpg,Agaricus bisporus
train,Agaricus bisporus/400549.jpg,Agaricus bisporus
train,Agaricus bisporus/403677.jpg,Agaricus bisporus
train,Agaricus bisporus/403678.jpg,Agaricus bisporus
train,Agaricus bisporus/403911.jpg,Agaricus bisporus
train,Agaricus bisporus/403912.jpg,Agaricus bisporus
train,Agaricus bisporus/404081.jpg,Agaricus bisporus
train,Agaricus bisporus/404082.jpg,Agaricus bisporus
train,Agaricus bisporus/443630.jpg,Agaricus bisporus
train,Agaricus bisporus/443631.jpg,Agaricus bisporus
train,Agaricus bisporus/443633.jpg,Agaricus bisporus
train,Agaricus bisporus/443635.jpg,Agaricus bisporus
train,Agaricus bisporus/443636.jpg,Agaricus bisporus
train,Agaricus bisporus/443637.jpg,Agaricus bisporus
train,Agaricus bisporus/479048.jpg,Agaricus bisporus
train,Agaricus bisporus/479050.jpg,Agaricus bisporus
train,Agaricus bisporus/479051.jpg,Agaricus bisporus
train,Agaricus bisporus/479052.jpg,Agaricus bisporus
train,Agaricus bisporus/479053.jpg,Agaricus bisporus
train,Agaricus bisporus/481620.jpg,Agaricus bisporus
train,Agaricus bisporus/481621.jpg,Agaricus bisporus
train,Agaricus bisporus/517319.jpg,Agaricus bisporus
train,Agaricus bisporus/520959.jpg,Agaricus bisporus
train,Agaricus bisporus/520960.jpg,Agaricus bisporus
train,Agaricus bisporus/520961.jpg,Agaricus bisporus
train,Agaricus bisporus/531875.jpg,Agaricus bisporus
train,Agaricus bisporus/579320.jpg,Agaricus bisporus
train,Agaricus bisporus/628358.jpg,Agaricus bisporus
train,Agaricus bisporus/628359.jpg,Agaricus bisporus
train,Agaricus bisporus/628361.jpg,Agaricus bisporus
train,Agaricus bisporus/628363.jpg,Agaricus bisporus
train,Agaricus bisporus/6418.jpg,Agaricus bisporus
train,Agaricus bisporus/6419.jpg,Agaricus bisporus
train,Agaricus bisporus/6420.jpg,Agaricus bisporus
train,Agaricus bisporus/690566.jpg,Agaricus bisporus
train,Agaricus bisporus/705.jpg,Agaricus bisporus
train,Agaricus bisporus/706.jpg,Agaricus bisporus
train,Agaricus bisporus/79029.jpg,Agaricus bisporus
train,Agaricus bisporus/868.jpg,Agaricus bisporus
train,Agaricus bisporus/869.jpg,Agaricus bisporus
train,Agaricus campestris/102897.jpg,Agaricus campestris
train,Agaricus campestris/104918.jpg,Agaricus campestris
train,Agaricus campestris/104920.jpg,Agaricus campestris
train,Agaricus campestris/104992.jpg,Agaricus campestris
train,Agaricus campestris/104993.jpg,Agaricus campestris
train,Agaricus campestris/104995.jpg,Agaricus campestris
train,Agaricus campestris/111747.jpg,Agaricus campestris
train,Agaricus campestris/111748.jpg,Agaricus campestris
train,Agaricus campestris/111749.jpg,Agaricus campestris
train,Agaricus campestris/112888.jpg,Agaricus campestris
train,Agaricus campestris/117230.jpg,Agaricus campestris
train,Agaricus campestris/123311.jpg,Agaricus campestris
train,Agaricus campestris/123312.jpg,Agaricus campestris
train,Agaricus campestris/123313.jpg,Agaricus campestris
train,Agaricus campestris/123323.jpg,Agaricus campestris
train,Agaricus campestris/126986.jpg,Agaricus campestris
train,Agaricus campestris/129832.jpg,Agaricus campestris
train,Agaricus campestris/129833.jpg,Agaricus campestris
train,Agaricus campestris/130198.jpg,Agaricus campestris
train,Agaricus campestris/137132.jpg,Agaricus campestris
train,Agaricus campestris/137133.jpg,Agaricus campestris
train,Agaricus campestris/148001.jpg,Agaricus campestris
train,Agaricus campestris/148004.jpg,Agaricus campestris
train,Agaricus campestris/15162.jpg,Agaricus campestris
train,Agaricus campestris/158525.jpg,Agaricus campestris
train,Agaricus campestris/159367.jpg,Agaricus campestris
train,Agaricus campestris/161116.jpg,Agaricus campestris
train,Agaricus campestris/161117.jpg,Agaricus campestris
train,Agaricus campestris/161118.jpg,Agaricus campestris
train,Agaricus campestris/161556.jpg,Agaricus campestris
train,Agaricus campestris/168500.jpg,Agaricus campestris
train,Agaricus campestris/17388.jpg,Agaricus campestris
train,Agaricus campestris/176162.jpg,Agaricus campestris
train,Agaricus campestris/179759.jpg,Agaricus campestris
train,Agaricus campestris/187091.jpg,Agaricus campestris
train,Agaricus campestris/199587.jpg,Agaricus campestris
train,Agaricus campestris/202711.jpg,Agaricus campestris
train,Agaricus campestris/202712.jpg,Agaricus campestris
train,Agaricus campestris/202713.jpg,Agaricus campestris
train,Agaricus campestris/202714.jpg,Agaricus campestris
train,Agaricus campestris/202715.jpg,Agaricus campestris
train,Agaricus campestris/202716.jpg,Agaricus campestris
train,Agaricus campestris/20775.jpg,Agaricus campestris
train,Agaricus campestris/20778.jpg,Agaricus campestris
train,Agaricus campestris/21156.jpg,Agaricus campestris
train,Agaricus campestris/223524.jpg,Agaricus campestris
train,Agaricus campestris/230140.jpg,Agaricus campestris
train,Agaricus campestris/230141.jpg,Agaricus campestris
train,Agaricus campestris/230143.jpg,Agaricus campestris
train,Agaricus campestris/230144.jpg,Agaricus campestris
train,Agaricus campestris/230145.jpg,Agaricus campestris
train,Agaricus campestris/23209.jpg,Agaricus campestris
train,Agaricus campestris/236668.jpg,Agaricus campestris
train,Agaricus campestris/236669.jpg,Agaricus campestris
train,Agaricus campestris/236670.jpg,Agaricus campestris
train,Agaricus campestris/236671.jpg,Agaricus campestris
train,Agaricus campestris/236678.jpg,Agaricus campestris
train,Agaricus campestris/236679.jpg,Agaricus campestris
train,Agaricus campestris/236681.jpg,Agaricus campestris
train,Agaricus campestris/239570.jpg,Agaricus campestris
train,Agaricus campestris/239571.jpg,Agaricus campestris
train,Agaricus campestris/239572.jpg,Agaricus campestris
train,Agaricus campestris/245144.jpg,Agaricus campestris
train,Agaricus campestris/245146.jpg,Agaricus campestris
train,Agaricus campestris/245147.jpg,Agaricus campestris
train,Agaricus campestris/245148.jpg,Agaricus campestris
train,Agaricus campestris/245441.jpg,Agaricus campestris
train,Agaricus campestris/246103.jpg,Agaricus campestris
train,Agaricus campestris/246104.jpg,Agaricus campestris
train,Agaricus campestris/246106.jpg,Agaricus campestris
train,Agaricus campestris/246107.jpg,Agaricus campestris
train,Agaricus campestris/247766.jpg,Agaricus campestris
train,Agaricus campestris/247767.jpg,Agaricus campestris
train,Agaricus campestris/248643.jpg,Agaricus campestris
train,Agaricus campestris/252025.jpg,Agaricus campestris
train,Agaricus campestris/252026.jpg,Agaricus campestris
train,Agaricus campestris/253354.jpg,Agaricus campestris
train,Agaricus campestris/256037.jpg,Agaricus campestris
train,Agaricus campestris/258457.jpg,Agaricus campestris
train,Agaricus campestris/261044.jpg,Agaricus campestris
